"simulation","method","lambda","rank","effective_rank","rmse","converged"
0,"SoftImpute (oracle)",1,26,26,0.583608660093414,NA
0,"SoftImpute (oracle)",1,27,27,0.5938280584631,NA
0,"SoftImpute (oracle)",1,28,28,0.603792670574759,NA
0,"SoftImpute (oracle)",1,29,29,0.613554377153581,NA
0,"SoftImpute (oracle)",1,30,30,0.623009908221263,NA
1,"PCA (oracle)",NA,0,0,0.777444540076908,NA
1,"PCA (oracle)",NA,1,1,0.486491208598885,NA
1,"PCA (oracle)",NA,2,2,0.35821849186621,NA
1,"PCA (oracle)",NA,3,3,0.178610564014966,NA
1,"PCA (oracle)",NA,4,4,0.219190154841213,NA
1,"PCA (oracle)",NA,5,5,0.252412554008751,NA
1,"PCA (oracle)",NA,6,6,0.281227434188526,NA
1,"PCA (oracle)",NA,7,7,0.307009450708721,NA
1,"PCA (oracle)",NA,8,8,0.330507420598157,NA
1,"PCA (oracle)",NA,9,9,0.352063350144905,NA
1,"PCA (oracle)",NA,10,10,0.372254203960148,NA
1,"PCA (oracle)",NA,11,11,0.391258212676094,NA
1,"PCA (oracle)",NA,12,12,0.409252217378324,NA
1,"PCA (oracle)",NA,13,13,0.426233306180712,NA
1,"PCA (oracle)",NA,14,14,0.442431764420721,NA
1,"PCA (oracle)",NA,15,15,0.457833078681667,NA
1,"PCA (oracle)",NA,16,16,0.472646458832831,NA
1,"PCA (oracle)",NA,17,17,0.486995566902803,NA
1,"PCA (oracle)",NA,18,18,0.500859299799571,NA
1,"PCA (oracle)",NA,19,19,0.514087720626473,NA
1,"PCA (oracle)",NA,20,20,0.527002046576832,NA
1,"PCA (oracle)",NA,21,21,0.539413000170125,NA
1,"PCA (oracle)",NA,22,22,0.551431590381797,NA
1,"PCA (oracle)",NA,23,23,0.563043461765286,NA
1,"PCA (oracle)",NA,24,24,0.574344328751025,NA
1,"PCA (oracle)",NA,25,25,0.585317492256448,NA
1,"PCA (oracle)",NA,26,26,0.595959533577036,NA
1,"PCA (oracle)",NA,27,27,0.606348611722011,NA
1,"PCA (oracle)",NA,28,28,0.616440792075749,NA
1,"PCA (oracle)",NA,29,29,0.626320289071456,NA
1,"PCA (oracle)",NA,30,30,0.636030650685989,NA
1,"ICA (oracle)",NA,0,0,0.777444540076908,NA
1,"ICA (oracle)",NA,1,1,0.486491208598885,TRUE
1,"ICA (oracle)",NA,2,2,0.358218491866211,TRUE
1,"ICA (oracle)",NA,3,3,0.178610564014966,TRUE
1,"ICA (oracle)",NA,4,4,0.219190154841213,TRUE
