"simulation","method","lambda","rank","effective_rank","rmse","converged"
3,"PCA (oracle)",NA,2,2,0.626195294560613,NA
3,"PCA (oracle)",NA,3,3,0.54222982822281,NA
3,"PCA (oracle)",NA,4,4,0.460501413726577,NA
3,"PCA (oracle)",NA,5,5,0.36474400931799,NA
3,"PCA (oracle)",NA,6,6,0.24245490193362,NA
3,"PCA (oracle)",NA,7,7,0.272832411573588,NA
3,"PCA (oracle)",NA,8,8,0.299995128323612,NA
3,"PCA (oracle)",NA,9,9,0.324362956417299,NA
3,"PCA (oracle)",NA,10,10,0.34663007865688,NA
3,"ICA (oracle)",NA,0,0,0.790631005132159,NA
3,"ICA (oracle)",NA,1,1,0.703258767798567,TRUE
3,"ICA (oracle)",NA,2,2,0.626195294560613,TRUE
3,"ICA (oracle)",NA,3,3,0.54222982822281,TRUE
3,"ICA (oracle)",NA,4,4,0.460501413726577,TRUE
3,"ICA (oracle)",NA,5,5,0.36474400931799,TRUE
3,"ICA (oracle)",NA,6,6,0.24245490193362,TRUE
3,"ICA (oracle)",NA,7,7,0.272832411573588,TRUE
3,"ICA (oracle)",NA,8,8,0.299995128323612,TRUE
3,"ICA (oracle)",NA,9,9,0.324362956417299,FALSE
3,"ICA (oracle)",NA,10,10,0.34663007865688,FALSE
3,"SoftImpute (oracle)",1,0,0,0.790631005132159,NA
3,"SoftImpute (oracle)",1,1,1,0.703184853086905,NA
3,"SoftImpute (oracle)",1,2,2,0.626010956553474,NA
3,"SoftImpute (oracle)",1,3,3,0.541921048975628,NA
3,"SoftImpute (oracle)",1,4,4,0.459995755852563,NA
3,"SoftImpute (oracle)",1,5,5,0.363964565716397,NA
3,"SoftImpute (oracle)",1,6,6,0.241029650210483,NA
3,"SoftImpute (oracle)",1,7,7,0.27054374390579,NA
3,"SoftImpute (oracle)",1,8,8,0.296985899515701,NA
3,"SoftImpute (oracle)",1,9,9,0.320730813070075,NA
3,"SoftImpute (oracle)",1,10,10,0.34244370698659,NA
4,"PCA (oracle)",NA,0,0,0.909662244208122,NA
4,"PCA (oracle)",NA,1,1,0.807228153420561,NA
4,"PCA (oracle)",NA,2,2,0.703728989826335,NA
4,"PCA (oracle)",NA,3,3,0.603770152728956,NA
4,"PCA (oracle)",NA,4,4,0.506426216329854,NA
4,"PCA (oracle)",NA,5,5,0.388872516463513,NA
4,"PCA (oracle)",NA,6,6,0.246834866523187,NA
4,"PCA (oracle)",NA,7,7,0.276570952859369,NA
4,"PCA (oracle)",NA,8,8,0.303021041359289,NA
4,"PCA (oracle)",NA,9,9,0.327062353537861,NA
4,"PCA (oracle)",NA,10,10,0.34913006764958,NA
4,"ICA (oracle)",NA,0,0,0.909662244208122,NA
4,"ICA (oracle)",NA,1,1,0.807228153420561,TRUE
4,"ICA (oracle)",NA,2,2,0.703728989826335,TRUE
4,"ICA (oracle)",NA,3,3,0.603770152728956,TRUE
4,"ICA (oracle)",NA,4,4,0.506426216329854,TRUE
4,"ICA (oracle)",NA,5,5,0.388872516463513,TRUE
4,"ICA (oracle)",NA,6,6,0.246834866523188,TRUE
4,"ICA (oracle)",NA,7,7,0.276570952859369,TRUE
4,"ICA (oracle)",NA,8,8,0.30302104135929,TRUE
4,"ICA (oracle)",NA,9,9,0.327062353537861,TRUE
4,"ICA (oracle)",NA,10,10,0.349130067649581,TRUE
4,"SoftImpute (oracle)",1,0,0,0.909662244208122,NA
4,"SoftImpute (oracle)",1,1,1,0.807164131888687,NA
4,"SoftImpute (oracle)",1,2,2,0.70358062344413,NA
4,"SoftImpute (oracle)",1,3,3,0.603493130175019,NA
4,"SoftImpute (oracle)",1,4,4,0.505977338211893,NA
4,"SoftImpute (oracle)",1,5,5,0.388132046812821,NA
4,"SoftImpute (oracle)",1,6,6,0.245444070101095,NA
4,"SoftImpute (oracle)",1,7,7,0.2743244552093,NA
4,"SoftImpute (oracle)",1,8,8,0.300059072183657,NA
4,"SoftImpute (oracle)",1,9,9,0.323478066074078,NA
4,"SoftImpute (oracle)",1,10,10,0.34499099011202,NA
5,"PCA (oracle)",NA,0,0,0.834376955718673,NA
5,"PCA (oracle)",NA,1,1,0.741116601371031,NA
5,"PCA (oracle)",NA,2,2,0.644179218002326,NA
5,"PCA (oracle)",NA,3,3,0.558700932073755,NA
5,"PCA (oracle)",NA,4,4,0.463947526988822,NA
5,"PCA (oracle)",NA,5,5,0.349925303696633,NA
5,"PCA (oracle)",NA,6,6,0.240129545521114,NA
5,"PCA (oracle)",NA,7,7,0.271709625516973,NA
5,"PCA (oracle)",NA,8,8,0.299054785114031,NA
5,"PCA (oracle)",NA,9,9,0.323896351905406,NA
5,"PCA (oracle)",NA,10,10,0.346702184929726,NA
5,"ICA (oracle)",NA,0,0,0.834376955718673,NA
5,"ICA (oracle)",NA,1,1,0.741116601371031,TRUE
5,"ICA (oracle)",NA,2,2,0.644179218002326,TRUE
5,"ICA (oracle)",NA,3,3,0.558700932073755,TRUE
5,"ICA (oracle)",NA,4,4,0.463947526988822,TRUE
5,"ICA (oracle)",NA,5,5,0.349925303696633,TRUE
5,"ICA (oracle)",NA,6,6,0.240129545521114,TRUE
5,"ICA (oracle)",NA,7,7,0.271709625516973,TRUE
5,"ICA (oracle)",NA,8,8,0.299054785114031,TRUE
5,"ICA (oracle)",NA,9,9,0.323896351905406,FALSE
5,"ICA (oracle)",NA,10,10,0.346702184929727,FALSE
5,"SoftImpute (oracle)",1,0,0,0.834376955718673,NA
5,"SoftImpute (oracle)",1,1,1,0.741038286413094,NA
5,"SoftImpute (oracle)",1,2,2,0.644000414342669,NA
5,"SoftImpute (oracle)",1,3,3,0.558387705996335,NA
5,"SoftImpute (oracle)",1,4,4,0.463441791503512,NA
5,"SoftImpute (oracle)",1,5,5,0.349108939874469,NA
5,"SoftImpute (oracle)",1,6,6,0.238728671069641,NA
5,"SoftImpute (oracle)",1,7,7,0.269428513506914,NA
5,"SoftImpute (oracle)",1,8,8,0.296050099325408,NA
5,"SoftImpute (oracle)",1,9,9,0.320264601046053,NA
5,"SoftImpute (oracle)",1,10,10,0.342512651843158,NA
6,"PCA (oracle)",NA,0,0,0.936965813808014,NA
6,"PCA (oracle)",NA,1,1,0.839910192302992,NA
6,"PCA (oracle)",NA,2,2,0.731267309396587,NA
6,"PCA (oracle)",NA,3,3,0.622634032486345,NA
6,"PCA (oracle)",NA,4,4,0.504603810258865,NA
6,"PCA (oracle)",NA,5,5,0.386425173978308,NA
6,"PCA (oracle)",NA,6,6,0.240787009261259,NA
6,"PCA (oracle)",NA,7,7,0.271796633310839,NA
6,"PCA (oracle)",NA,8,8,0.299280298536523,NA
6,"PCA (oracle)",NA,9,9,0.323662921883451,NA
6,"PCA (oracle)",NA,10,10,0.346170715659987,NA
6,"ICA (oracle)",NA,0,0,0.936965813808014,NA
6,"ICA (oracle)",NA,1,1,0.839910192302992,TRUE
6,"ICA (oracle)",NA,2,2,0.731267309396587,TRUE
6,"ICA (oracle)",NA,3,3,0.622634032486345,TRUE
6,"ICA (oracle)",NA,4,4,0.504603810258865,TRUE
6,"ICA (oracle)",NA,5,5,0.386425173978308,TRUE
6,"ICA (oracle)",NA,6,6,0.24078700926126,TRUE
6,"ICA (oracle)",NA,7,7,0.271796633310839,TRUE
6,"ICA (oracle)",NA,8,8,0.299280298536524,TRUE
6,"ICA (oracle)",NA,9,9,0.323662921883451,FALSE
6,"ICA (oracle)",NA,10,10,0.346170715659987,TRUE
6,"SoftImpute (oracle)",1,0,0,0.936965813808014,NA
6,"SoftImpute (oracle)",1,1,1,0.839853137199089,NA
6,"SoftImpute (oracle)",1,2,2,0.731142454509047,NA
6,"SoftImpute (oracle)",1,3,3,0.62240416842315,NA
6,"SoftImpute (oracle)",1,4,4,0.504217658152013,NA
6,"SoftImpute (oracle)",1,5,5,0.385766981085489,NA
6,"SoftImpute (oracle)",1,6,6,0.239492238293037,NA
