"simulation","method","n_components","selected_rank","effective_rank","rmse","elbo","lambda","raw_rmse","rmse_gain","relative_rmse_gain"
0,"No denoising (Z)",NA,NA,NA,1.25032847976251,NA,NA,1.25032847976251,0,0
0,"EBMF= GB+pt Laplace",9,9,9,0.19274999091023,-335000.908869952,NA,1.25032847976251,1.05757848885228,0.845840517887875
0,"cEBMF= cGB + pt Normal",10,10,10,0.190838308866695,NA,NA,1.25032847976251,1.05949017089582,0.847369461741012
0,"PCA (oracle)",6,6,6,0.243178030917749,NA,NA,1.25032847976251,1.00715044884476,0.805508684434719
0,"ICA (oracle)",6,6,6,0.243178030917749,NA,NA,1.25032847976251,1.00715044884476,0.805508684434719
0,"SoftImpute (oracle)",6,6,6,0.24174027334891,NA,1,1.25032847976251,1.0085882064136,0.806658588313668
1,"No denoising (Z)",NA,NA,NA,1.25304724145682,NA,NA,1.25304724145682,0,0
1,"EBMF= GB+pt Laplace",9,9,9,0.136029478507285,-334291.706126105,NA,1.25304724145682,1.11701776294953,0.891441061432661
1,"cEBMF= cGB + pt Normal",10,10,10,0.149187171943005,NA,NA,1.25304724145682,1.10386006951381,0.880940504869108
1,"PCA (oracle)",6,6,6,0.244939567938334,NA,NA,1.25304724145682,1.00810767351848,0.804524873576544
1,"ICA (oracle)",6,6,6,0.244939567938334,NA,NA,1.25304724145682,1.00810767351848,0.804524873576544
1,"SoftImpute (oracle)",6,6,6,0.243569489901744,NA,1,1.25304724145682,1.00947775155507,0.805618270530196
2,"No denoising (Z)",NA,NA,NA,1.24919478014245,NA,NA,1.24919478014245,0,0
2,"EBMF= GB+pt Laplace",10,10,10,0.151287955079426,-335131.566349892,NA,1.24919478014245,1.09790682506302,0.878891620839006
2,"cEBMF= cGB + pt Normal",10,10,10,0.142952599295503,NA,NA,1.24919478014245,1.10624218084695,0.885564203783175
2,"PCA (oracle)",6,6,6,0.242107617205384,NA,NA,1.24919478014245,1.00708716293706,0.806189057900341
2,"ICA (oracle)",6,6,6,0.242107617205384,NA,NA,1.24919478014245,1.00708716293706,0.806189057900341
