"simulation","method","lambda","rank","effective_rank","rmse","converged"
0,"SoftImpute (oracle)",1,26,26,0.585501498474784,NA
0,"SoftImpute (oracle)",1,27,27,0.595657670388616,NA
0,"SoftImpute (oracle)",1,28,28,0.6055219809751,NA
0,"SoftImpute (oracle)",1,29,29,0.615178174512103,NA
0,"SoftImpute (oracle)",1,30,30,0.624669461777837,NA
1,"PCA (oracle)",NA,0,0,0.804459994259563,NA
1,"PCA (oracle)",NA,1,1,0.494213333481468,NA
1,"PCA (oracle)",NA,2,2,0.344521799764849,NA
1,"PCA (oracle)",NA,3,3,0.176453373441628,NA
1,"PCA (oracle)",NA,4,4,0.217309679205143,NA
1,"PCA (oracle)",NA,5,5,0.250593868699614,NA
1,"PCA (oracle)",NA,6,6,0.279859197311776,NA
1,"PCA (oracle)",NA,7,7,0.305932186123545,NA
1,"PCA (oracle)",NA,8,8,0.329658419289742,NA
1,"PCA (oracle)",NA,9,9,0.351736080614181,NA
1,"PCA (oracle)",NA,10,10,0.372002108031809,NA
1,"PCA (oracle)",NA,11,11,0.391040032706297,NA
1,"PCA (oracle)",NA,12,12,0.408906661098736,NA
1,"PCA (oracle)",NA,13,13,0.425767878295829,NA
1,"PCA (oracle)",NA,14,14,0.4418618013941,NA
1,"PCA (oracle)",NA,15,15,0.457340201000101,NA
1,"PCA (oracle)",NA,16,16,0.472211347150652,NA
1,"PCA (oracle)",NA,17,17,0.486556093031787,NA
1,"PCA (oracle)",NA,18,18,0.500339619284292,NA
1,"PCA (oracle)",NA,19,19,0.513585071355176,NA
1,"PCA (oracle)",NA,20,20,0.526237918221853,NA
1,"PCA (oracle)",NA,21,21,0.538536029501225,NA
1,"PCA (oracle)",NA,22,22,0.55038360731432,NA
1,"PCA (oracle)",NA,23,23,0.561922711003726,NA
1,"PCA (oracle)",NA,24,24,0.57316348111272,NA
1,"PCA (oracle)",NA,25,25,0.584106730210938,NA
1,"PCA (oracle)",NA,26,26,0.594789402389585,NA
1,"PCA (oracle)",NA,27,27,0.605187721298847,NA
1,"PCA (oracle)",NA,28,28,0.615346644204648,NA
1,"PCA (oracle)",NA,29,29,0.625287193576179,NA
1,"PCA (oracle)",NA,30,30,0.635023417817031,NA
1,"ICA (oracle)",NA,0,0,0.804459994259563,NA
1,"ICA (oracle)",NA,1,1,0.494213333481468,TRUE
1,"ICA (oracle)",NA,2,2,0.344521799764849,TRUE
1,"ICA (oracle)",NA,3,3,0.176453373441628,TRUE
1,"ICA (oracle)",NA,4,4,0.217309679205143,TRUE
1,"ICA (oracle)",NA,5,5,0.250593868699614,TRUE
1,"ICA (oracle)",NA,6,6,0.279859197311776,TRUE
1,"ICA (oracle)",NA,7,7,0.305932186123545,TRUE
