"simulation","method","n_components","selected_rank","effective_rank","rmse","elbo","lambda","raw_rmse","rmse_gain","relative_rmse_gain"
6,"SoftImpute (oracle)",3,3,3,0.176159070812373,NA,1,1.24868004928427,1.07252097847189,0.858923772416044
7,"No denoising (Z)",NA,NA,NA,1.25097549100572,NA,NA,1.25097549100572,0,0
7,"EBMF= GB+pt Laplace",7,7,7,0.108847536585264,-332197.681228233,NA,1.25097549100572,1.14212795442045,0.912989872808974
7,"cEBMF= cGB + pt Normal",10,10,10,0.0773084533533732,NA,NA,1.25097549100572,1.17366703765234,0.938201464449778
7,"PCA (oracle)",3,3,3,0.176676112069397,NA,NA,1.25097549100572,1.07429937893632,0.858769325746455
7,"ICA (oracle)",3,3,3,0.176676112069397,NA,NA,1.25097549100572,1.07429937893632,0.858769325746455
7,"SoftImpute (oracle)",3,3,3,0.175823420568418,NA,1,1.25097549100572,1.0751520704373,0.859450947014905
8,"No denoising (Z)",NA,NA,NA,1.25070944937453,NA,NA,1.25070944937453,0,0
8,"EBMF= GB+pt Laplace",6,6,6,0.130190074118291,-331416.475623115,NA,1.25070944937453,1.12051937525624,0.8959070196652
8,"cEBMF= cGB + pt Normal",10,10,10,0.0797561771008888,NA,NA,1.25070944937453,1.17095327227364,0.936231250878632
8,"PCA (oracle)",3,3,3,0.176149004165686,NA,NA,1.25070944937453,1.07456044520884,0.859160731332303
8,"ICA (oracle)",3,3,3,0.176149004165686,NA,NA,1.25070944937453,1.07456044520884,0.859160731332304
8,"SoftImpute (oracle)",3,3,3,0.17540583757414,NA,1,1.25070944937453,1.07530361180039,0.859754927363938
9,"No denoising (Z)",NA,NA,NA,1.25071657758804,NA,NA,1.25071657758804,0,0
9,"EBMF= GB+pt Laplace",6,6,6,0.176260625601321,-330466.523948952,NA,1.25071657758804,1.07445595198672,0.859072288030889
9,"cEBMF= cGB + pt Normal",10,10,10,0.0764312545640888,NA,NA,1.25071657758804,1.17428532302396,0.938890028377586
9,"PCA (oracle)",3,3,3,0.175953704245393,NA,NA,1.25071657758804,1.07476287334265,0.859317684439178
9,"ICA (oracle)",3,3,3,0.175953704245393,NA,NA,1.25071657758804,1.07476287334265,0.859317684439178
9,"SoftImpute (oracle)",3,3,3,0.175084699361101,NA,1,1.25071657758804,1.07563187822694,0.860012490040913
10,"No denoising (Z)",NA,NA,NA,1.2452134826915,NA,NA,1.2452134826915,0,0
10,"EBMF= GB+pt Laplace",7,7,7,0.106898542878169,-330537.196676529,NA,1.2452134826915,1.13831493981333,0.91415243702059
10,"cEBMF= cGB + pt Normal",10,10,10,0.0770267591394575,NA,NA,1.2452134826915,1.16818672355205,0.938141724121903
10,"PCA (oracle)",3,3,3,0.174904958282107,NA,NA,1.2452134826915,1.0703085244094,0.859538175009113
10,"ICA (oracle)",3,3,3,0.174904958282107,NA,NA,1.2452134826915,1.0703085244094,0.859538175009113
10,"SoftImpute (oracle)",3,3,3,0.173975793706885,NA,1,1.2452134826915,1.07123768898462,0.860284363986455
11,"No denoising (Z)",NA,NA,NA,1.2519137222807,NA,NA,1.2519137222807,0,0
11,"EBMF= GB+pt Laplace",6,6,6,0.212085679979757,-330619.544815875,NA,1.2519137222807,1.03982804230094,0.830590817717546
11,"cEBMF= cGB + pt Normal",10,10,10,0.0843501599245133,NA,NA,1.2519137222807,1.16756356235619,0.932623024715436
11,"PCA (oracle)",3,3,3,0.176288998940308,NA,NA,1.2519137222807,1.07562472334039,0.859184386429482
11,"ICA (oracle)",3,3,3,0.176288998940309,NA,NA,1.2519137222807,1.07562472334039,0.859184386429482
11,"SoftImpute (oracle)",3,3,3,0.175572654505475,NA,1,1.2519137222807,1.07634106777523,0.859756585952567
12,"No denoising (Z)",NA,NA,NA,1.25188686217699,NA,NA,1.25188686217699,0,0
12,"EBMF= GB+pt Laplace",6,6,6,0.169903578017472,-330787.896874781,NA,1.25188686217699,1.08198328415952,0.864282002510982
12,"cEBMF= cGB + pt Normal",10,10,10,0.0807732107791267,NA,NA,1.25188686217699,1.17111365139787,0.935478825427831
